id,code_insee2,commune_arrivee,code_insee1,commune_depart,migration,X1,Y1,X2,Y2,année,population_2014_1,population_2014_2,categorie_1,categorie_2,is_PSN_1,is_PSN_2
0,15014,Aurillac,63113,Clermont-Ferrand,140,3,46,2.0,45.0,2014.0,141365,26135,grande ville,moyenne ville,0,0
1,31555,Toulouse,63113,Clermont-Ferrand,135,3,46,1.0,44.0,2014.0,141365,466297,grande ville,metropole,0,0
2,31555,Toulouse,38185,Grenoble,234,6,45,1.0,44.0,2014.0,160779,466297,grande ville,metropole,0,0
3,31555,Toulouse,13001,Aix-en-Provence,121,5,44,1.0,44.0,2014.0,142149,466297,grande ville,metropole,0,0
4,31555,Toulouse,34172,Montpellier,749,4,44,1.0,44.0,2014.0,275318,466297,metropole,metropole,0,0
5,31555,Toulouse,59350,Lille,241,3,51,1.0,44.0,2014.0,233897,466297,metropole,metropole,0,0
6,31555,Toulouse,75115,Paris 15e  Arrondissement,246,2,49,1.0,44.0,2014.0,235366,466297,capitale,metropole,1,0
7,31555,Toulouse,83137,Toulon,112,6,43,1.0,44.0,2014.0,165584,466297,grande ville,metropole,0,0
8,31555,Toulouse,11262,Narbonne,153,3,43,1.0,44.0,2014.0,52855,466297,grande ville,metropole,0,0
9,31555,Toulouse,11069,Carcassonne,291,2,43,1.0,44.0,2014.0,45941,466297,moyenne ville,metropole,0,0
10,31555,Toulouse,12202,Rodez,309,3,44,1.0,44.0,2014.0,24088,466297,moyenne ville,metropole,0,0
11,31555,Toulouse,35238,Rennes,206,-2,48,1.0,44.0,2014.0,213454,466297,metropole,metropole,0,0
12,31555,Toulouse,33063,Bordeaux,622,-1,45,1.0,44.0,2014.0,246586,466297,metropole,metropole,0,0
13,31555,Toulouse,86194,Poitiers,103,0,47,1.0,44.0,2014.0,87435,466297,grande ville,metropole,0,0
14,31555,Toulouse,17300,La Rochelle,112,-1,46,1.0,44.0,2014.0,74998,466297,grande ville,metropole,0,0
15,31555,Toulouse,44109,Nantes,281,-2,47,1.0,44.0,2014.0,298029,466297,metropole,metropole,0,0
16,31555,Toulouse,87085,Limoges,282,1,46,1.0,44.0,2014.0,134577,466297,grande ville,metropole,0,0
17,31555,Toulouse,19031,Brive-la-Gaillarde,114,2,45,1.0,44.0,2014.0,46961,466297,moyenne ville,metropole,0,0
18,31555,Toulouse,67482,Strasbourg,268,8,49,1.0,44.0,2014.0,276170,466297,metropole,metropole,0,0
19,31555,Toulouse,30189,Nîmes,204,4,44,1.0,44.0,2014.0,151075,466297,grande ville,metropole,0,0
20,31555,Toulouse,31069,Blagnac,411,1,44,1.0,44.0,2014.0,23416,466297,moyenne ville,metropole,0,0
21,31555,Toulouse,31557,Tournefeuille,396,1,44,1.0,44.0,2014.0,26674,466297,moyenne ville,metropole,0,0
22,31555,Toulouse,31395,Muret,380,1,43,1.0,44.0,2014.0,24975,466297,moyenne ville,metropole,0,0
23,31555,Toulouse,31149,Colomiers,463,1,44,1.0,44.0,2014.0,38541,466297,moyenne ville,metropole,0,0
24,31555,Toulouse,31022,Aucamville,200,1,44,1.0,44.0,2014.0,8132,466297,petite ville,metropole,0,0
25,31555,Toulouse,31033,Auterive,127,1,43,1.0,44.0,2014.0,9232,466297,petite ville,metropole,0,0
26,31555,Toulouse,31044,Balma,415,2,44,1.0,44.0,2014.0,15319,466297,petite ville,metropole,0,0
27,31555,Toulouse,31113,Castanet-Tolosan,189,2,44,1.0,44.0,2014.0,12640,466297,petite ville,metropole,0,0
28,31555,Toulouse,31116,Castelginest,169,1,44,1.0,44.0,2014.0,9749,466297,petite ville,metropole,0,0
29,31555,Toulouse,31157,Cugnaux,228,1,44,1.0,44.0,2014.0,17004,466297,petite ville,metropole,0,0
30,31555,Toulouse,31169,Escalquens,110,2,44,1.0,44.0,2014.0,6273,466297,petite ville,metropole,0,0
31,31555,Toulouse,31254,Labège,100,2,44,1.0,44.0,2014.0,4217,466297,village et bourg,metropole,0,0
32,31555,Toulouse,31282,Launaguet,163,1,44,1.0,44.0,2014.0,7936,466297,petite ville,metropole,0,0
33,31555,Toulouse,31417,Pibrac,137,1,44,1.0,44.0,2014.0,8226,466297,petite ville,metropole,0,0
34,31555,Toulouse,31424,Plaisance-du-Touch,225,1,44,1.0,44.0,2014.0,17278,466297,petite ville,metropole,0,0
35,31555,Toulouse,31446,Ramonville-Saint-Agne,331,1,44,1.0,44.0,2014.0,13986,466297,petite ville,metropole,0,0
36,31555,Toulouse,31451,Revel,106,2,43,1.0,44.0,2014.0,9387,466297,petite ville,metropole,0,0
37,31555,Toulouse,31483,Saint-Gaudens,138,1,43,1.0,44.0,2014.0,11255,466297,petite ville,metropole,0,0
38,31555,Toulouse,31488,Saint-Jean,144,2,44,1.0,44.0,2014.0,10386,466297,petite ville,metropole,0,0
39,31555,Toulouse,31499,Saint-Lys,141,1,44,1.0,44.0,2014.0,9067,466297,petite ville,metropole,0,0
40,31555,Toulouse,31506,Saint-Orens-de-Gameville,166,2,44,1.0,44.0,2014.0,11581,466297,petite ville,metropole,0,0
41,31555,Toulouse,31561,L'Union,208,1,44,1.0,44.0,2014.0,11676,466297,petite ville,metropole,0,0
42,31555,Toulouse,32013,Auch,209,1,44,1.0,44.0,2014.0,21807,466297,moyenne ville,metropole,0,0
43,31555,Toulouse,37261,Tours,123,1,47,1.0,44.0,2014.0,136125,466297,grande ville,metropole,0,0
44,31555,Toulouse,46042,Cahors,224,1,44,1.0,44.0,2014.0,19630,466297,petite ville,metropole,0,0
45,31555,Toulouse,47001,Agen,205,1,44,1.0,44.0,2014.0,34126,466297,moyenne ville,metropole,0,0
46,31555,Toulouse,49007,Angers,102,-1,47,1.0,44.0,2014.0,151056,466297,grande ville,metropole,0,0
47,31555,Toulouse,64445,Pau,372,0,43,1.0,44.0,2014.0,77489,466297,grande ville,metropole,0,0
48,31555,Toulouse,65440,Tarbes,330,0,43,1.0,44.0,2014.0,40900,466297,moyenne ville,metropole,0,0
49,31555,Toulouse,66136,Perpignan,320,3,43,1.0,44.0,2014.0,120605,466297,grande ville,metropole,0,0
50,31555,Toulouse,75111,Paris 11e  Arrondissement,142,2,49,1.0,44.0,2014.0,151542,466297,capitale,metropole,1,0
51,31555,Toulouse,75112,Paris 12e  Arrondissement,145,2,49,1.0,44.0,2014.0,143922,466297,capitale,metropole,1,0
52,31555,Toulouse,75116,Paris 16e  Arrondissement,107,2,49,1.0,44.0,2014.0,165745,466297,capitale,metropole,1,0
53,31555,Toulouse,75117,Paris 17e  Arrondissement,106,2,49,1.0,44.0,2014.0,170186,466297,capitale,metropole,1,0
54,31555,Toulouse,75118,Paris 18e  Arrondissement,132,2,49,1.0,44.0,2014.0,199135,466297,capitale,metropole,1,0
55,31555,Toulouse,75119,Paris 19e  Arrondissement,125,2,49,1.0,44.0,2014.0,187156,466297,capitale,metropole,1,0
56,31555,Toulouse,75120,Paris 20e  Arrondissement,133,2,49,1.0,44.0,2014.0,195468,466297,capitale,metropole,1,0
57,31555,Toulouse,81004,Albi,494,2,44,1.0,44.0,2014.0,49531,466297,moyenne ville,metropole,0,0
58,31555,Toulouse,81065,Castres,358,2,44,1.0,44.0,2014.0,41382,466297,moyenne ville,metropole,0,0
59,31555,Toulouse,82121,Montauban,441,1,44,1.0,44.0,2014.0,58826,466297,grande ville,metropole,0,0
60,31555,Toulouse,92049,Montrouge,107,2,49,1.0,44.0,2014.0,48954,466297,moyenne ville,metropole,1,0
61,34172,Montpellier,63113,Clermont-Ferrand,113,3,46,4.0,44.0,2014.0,141365,275318,grande ville,metropole,0,0
62,34172,Montpellier,38185,Grenoble,201,6,45,4.0,44.0,2014.0,160779,275318,grande ville,metropole,0,0
