Departement,Domaine,Emploi
75-Paris,Agriculture,700
77-Seine-et-Marne,Agriculture,1908
78-Yvelines,Agriculture,981
91-Essonne,Agriculture,515
92-Hauts-de-Seine,Agriculture,66
93-Seine-Saint-Denis,Agriculture,33
94-Val-de-Marne,Agriculture,154
95-Val-d'Oise,Agriculture,574
14-Calvados,Agriculture,3561
27-Eure,Agriculture,1799
50-Manche,Agriculture,3973
61-Orne,Agriculture,2239
76-Seine-Maritime,Agriculture,2869
75-Paris,Industrie,61821
77-Seine-et-Marne,Industrie,49134
78-Yvelines,Industrie,79193
91-Essonne,Industrie,45999
92-Hauts-de-Seine,Industrie,96156
93-Seine-Saint-Denis,Industrie,43418
94-Val-de-Marne,Industrie,31853
95-Val-d'Oise,Industrie,35341
14-Calvados,Industrie,32517
27-Eure,Industrie,37789
50-Manche,Industrie,31864
61-Orne,Industrie,19555
76-Seine-Maritime,Industrie,76346
75-Paris,Construction,26692
77-Seine-et-Marne,Construction,30519
78-Yvelines,Construction,33752
91-Essonne,Construction,31322
92-Hauts-de-Seine,Construction,35599
93-Seine-Saint-Denis,Construction,41192
94-Val-de-Marne,Construction,36714
95-Val-d'Oise,Construction,25332
14-Calvados,Construction,13760
27-Eure,Construction,10200
50-Manche,Construction,12274
61-Orne,Construction,5490
76-Seine-Maritime,Construction,29218
75-Paris,Tertiaire marchand,1249103
77-Seine-et-Marne,Tertiaire marchand,234595
78-Yvelines,Tertiaire marchand,266113
91-Essonne,Tertiaire marchand,229894
92-Hauts-de-Seine,Tertiaire marchand,723293
93-Seine-Saint-Denis,Tertiaire marchand,338353
94-Val-de-Marne,Tertiaire marchand,298856
95-Val-d'Oise,Tertiaire marchand,187509
14-Calvados,Tertiaire marchand,113745
27-Eure,Tertiaire marchand,66507
50-Manche,Tertiaire marchand,60327
61-Orne,Tertiaire marchand,30759
76-Seine-Maritime,Tertiaire marchand,200036
75-Paris,Tertiaire nonmarchand,426116
77-Seine-et-Marne,Tertiaire nonmarchand,131769
78-Yvelines,Tertiaire nonmarchand,159456
91-Essonne,Tertiaire nonmarchand,134960
92-Hauts-de-Seine,Tertiaire nonmarchand,177360
93-Seine-Saint-Denis,Tertiaire nonmarchand,171688
94-Val-de-Marne,Tertiaire nonmarchand,166060
95-Val-d'Oise,Tertiaire nonmarchand,118708
14-Calvados,Tertiaire nonmarchand,86262
27-Eure,Tertiaire nonmarchand,58268
50-Manche,Tertiaire nonmarchand,56982
61-Orne,Tertiaire nonmarchand,33626
76-Seine-Maritime,Tertiaire nonmarchand,158129
