latitude,longitude,altitude,geometry,localite_acheminement_uai,reg_id_old,compte_instagram,uucr_id,aca_nom,identifiant_eter,identifiant_isni,type_d_etablissement,com_nom,uai,compte_scoopit,compte_viadeo,identifiant_orgref,uo_lib,element_wikidata,inscrits_2014,compte_linkedin,com_code,siren,libelle_mission_chef_de_file,identifiant_programme_lolf_chef_de_file,coordonnees,identifiant_wikidata,wikipedia,numero_telephone_uai,compte_facebook,dep_nom,element_isni,aca_id,siret,statut_juridique_court,reg_nom_old,adresse_uai,element_grid,compte_dailymotion,typologie_d_universites_et_assimiles,libelle_programme_lolf_chef_de_file,compte_twitter,localisation,secteur_d_etablissement,uucr_nom,inscrits_2015,inscrits_2012,inscrits_2013,inscrits_2010,inscrits_2011,statut_juridique_long,identifiant_grid,code_postal_uai,url,pays_etranger_acheminement,uo_lib_en,reg_nom,reg_id,implantations,dep_id,statut_operateur_lolf,dernier_decret_legifrance,flux_rss,compte_youtube,sigle,compte_googleplus,mooc,url_en,qualification_court,qualification_long,boite_postale_uai,compte_vimeo,identifiant_funding_data,element_fundref,anciens_codes_uai,compte_flickr,lieu_dit_uai,compte_france_culture,autres,mention_distribution,rattachement,rattachement_identifiants,association,url_es,association_identifiants,compte_tumblr,url_cn,compte_pinterest,url_de,compte_scribd
43.6063,1.43552,,Point,TOULOUSE CEDEX,R73,https://instagram.com/ut1capitole/,UU31701,Toulouse,FR0038,0000 0001 2190 2837,Université,Toulouse,0311382J,http://www.scoop.it/u/ut1capitole,http://www.viadeo.com/fr/company/universite-toulouse-1-capitole,3320609,Université Toulouse 1 - Capitole,https://www.wikidata.org/entity/Q590201,21210,https://www.linkedin.com/company/universit-toulouse-1-capitole,31555,193113826,Recherche et enseignement supérieur,150,"43.6063,1.43552",Q590201,https://fr.wikipedia.org/wiki/Universit%C3%A9_Toulouse-I-Capitole,0561633500,https://www.facebook.com/ut1capitole,Haute-Garonne,http://isni.org/isni/0000000121902837,A16,19311382600013,EPCSCP,Midi-Pyrénées,2 RUE DU DOYEN GABRIEL MARTY,https://www.grid.ac/institutes/grid.22147.32,http://www.dailymotion.com/ut-capitole#video=x19f8yb,Université tertiaire - droit et économie,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/UT1Capitole,Occitanie>Toulouse>Haute-Garonne>Toulouse,Public,Toulouse,21769,20906,20543,20108,20276,"Établissement public à caractère scientifique, culturel et professionnel",grid.22147.32,31042,http://www.ut-capitole.fr/,France,Toulouse 1 University Capitole,Occitanie,R76,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0311382J,D031,Opérateurs MIRES 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.5704,1.46794,,Point,TOULOUSE CEDEX 04,R73,,UU31701,Toulouse,FR0033,0000 0001 2286 8343,Instituts et écoles extérieurs aux universités,Toulouse,0310152X,,http://fr.viadeo.com/fr/groups/?containerId=0021q19whauziley,1237892,Institut national des sciences appliquées de Toulouse,https://www.wikidata.org/entity/Q858979,2871,https://www.linkedin.com/groups/INSA-de-Toulouse-1853952?trk=myg_ugrp_ovr,31555,193101524,Recherche et enseignement supérieur,150,"43.5704,1.46794",Q858979,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Toulouse,0561559513,https://www.facebook.com/INSAToulouse,Haute-Garonne,http://isni.org/isni/0000000122868343,A16,19310152400018,EPCSCP,Midi-Pyrénées,135 AVENUE DE RANGUEIL,https://www.grid.ac/institutes/grid.461574.5,,,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/INSAToulouse,Occitanie>Toulouse>Haute-Garonne>Toulouse,Public,Toulouse,2823,2720,2755,2573,2714,"Établissement public à caractère scientifique, culturel et professionnel",grid.461574.5,31077,http://www.insa-toulouse.fr/,France,,Occitanie,R76,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0310152X,D031,Opérateurs MIRES 2014,Abrogé,http://www.insa-toulouse.fr/plugins/web/default/fr/filter/org.ametys.web.accueil.RSS/rss.xml,https://www.youtube.com/user/InsaToulouse,INSA Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,
46.1482,-1.15506,,Point,LA ROCHELLE CEDEX 9,R54,,UU17601,Poitiers,FR0014,0000 0001 2169 7335,Université,La Rochelle,0171463Y,,,13835467,Université de La Rochelle,https://www.wikidata.org/entity/Q1500822,7382,,17300,191700327,Recherche et enseignement supérieur,150,"46.1482,-1.15506",Q1500822,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_Rochelle,0546459114,https://www.facebook.com/Universite.de.La.Rochelle,Charente-Maritime,http://isni.org/isni/0000000121697335,A13,19170032700015,EPCSCP,Poitou-Charentes,23 AVENUE ALBERT EINSTEIN,https://www.grid.ac/institutes/grid.11698.37,,Université pluridisciplinaire hors santé,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/UnivLaRochelle,Nouvelle-Aquitaine>Poitiers>Charente-Maritime>La Rochelle,Public,La Rochelle,7875,7344,7331,7367,7528,"Établissement public à caractère scientifique, culturel et professionnel",grid.11698.37,17071,http://www.univ-larochelle.fr/,France,University of La Rochelle,Nouvelle-Aquitaine,R75,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0171463Y,D017,Opérateurs MIRES 2014,,http://www.univ-larochelle.fr/spip.php?page=agenda-rss,,,https://plus.google.com/116774829465696597/posts,,,,,,,,,,,,,,,,,,,,,,,,
47.2408,6.02265,,Point,BESANCON CEDEX,R43,,UU25602,Besançon,FR0022,0000 0001 2188 3779,Université,Besançon,0251215K,,,12797301,Université de Franche-Comté,https://www.wikidata.org/entity/Q829449,19654,,25056,192512150,Recherche et enseignement supérieur,150,"47.2408,6.02265",Q829449,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Franche-Comt%C3%A9,0381666666,https://www.facebook.com/UniversiteFrancheComte,Doubs,http://isni.org/isni/0000000121883779,A03,19251215000363,EPCSCP,Franche-Comté,1 RUE GOUDIMEL,https://www.grid.ac/institutes/grid.7459.f,,Université pluridisciplinaire avec santé,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),,Bourgogne-Franche-Comté>Besançon>Doubs>Besançon,Public,Besançon,20314,19627,19641,19578,19629,"Établissement public à caractère scientifique, culturel et professionnel",grid.7459.f,25030,http://www.univ-fcomte.fr/,France,University of Franche-Comté,Bourgogne-Franche-Comté,R27,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0251215K,D025,Opérateurs MIRES 2014,,,,UFC,https://plus.google.com/117389242538948837/posts#117389242538948837/posts,https://www.fun-mooc.fr/universities/univ-fcomte/,,,,,,,,,,,,,,,,,,,,,,,
46.203182,-0.816317,,Point,LA ROCHELLE CEDEX 1,R54,https://www.instagram.com/myeigsi/,UU17601,Poitiers,FR0013,,École d'ingénieurs,La Rochelle,0171435T,,,,École d'ingénieurs en génie des systèmes industriels,https://www.wikidata.org/entity/Q3577771,824,,17300,353408776,,,"46.203182,-0.816317",Q3577771,https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_en_g%C3%A9nie_des_syst%C3%A8mes_industriels,0546458000,https://www.facebook.com/eigsi.ingenieurs,Charente-Maritime,,A13,35340877600022,Association,Poitou-Charentes,26 RUE VAUX DE FOLETIER,,,,,https://twitter.com/EIGSI,Nouvelle-Aquitaine>Poitiers>Charente-Maritime>La Rochelle,Privé,La Rochelle,866,733,770,706,791,Association,,17041,http://www.eigsi.fr/,France,EIGSI,Nouvelle-Aquitaine,R75,,D017,,,http://feeds.feedburner.com/~u/17937432232798778145,https://www.youtube.com/user/eigsilarochelle,EIGSI,https://plus.google.com/112518007062118549688/,,http://www.eigsi.fr/?lang=en,EESPIG,Établissement d’enseignement supérieur privé d’intérêt général,,,,,,,,,,,,,,,,,,,,
49.188964,-0.363963,,Point,CAEN CEDEX 5,R25,,UU14601,Caen,,,Communauté d'universités et établissements,Caen,0142382N,,,47001014,Normandie Université,https://www.wikidata.org/entity/Q3343880,,,14118,130021330,Recherche et enseignement supérieur,150,"49.188964,-0.363963",Q3343880,https://fr.wikipedia.org/wiki/Normandie_universit%C3%A9,,https://www.facebook.com/NormandieUniversite,Calvados,,A05,13002133000019,EPCSCP,Basse-Normandie,ESPLANADE DE LA PAIX,https://www.grid.ac/institutes/grid.460771.3,,,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/normandieuniv,Normandie>Caen>Calvados>Caen,Public,Caen,,,,,,"Établissement public à caractère scientifique, culturel et professionnel",grid.460771.3,14032,http://www.normandie-univ.fr/,France,,Normandie,R28,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0142382N,D014,Non_Opérateur_LOLF_2014,http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030001652&dateTexte=&categorieLien=id,,,,,https://www.fun-mooc.fr/universities/normandie-universite/,,,,5186,,,,,,,,,,,,,,,,,,,
48.407023,-4.495576,,Point,BREST CEDEX 2,R53,,UU29701,Rennes,FR0028,,École d'ingénieurs,Brest,0292125C,,,,Institut supérieur de l'électronique et du numérique de Brest,,396,,29019,397792656,,,"48.407023,-4.495576",,,0298038400,https://www.facebook.com/ISEN.Brest,Finistère,,A14,39779265600027,Association,Bretagne,20 RUE CUIRASSE BRETAGNE,,,,,https://twitter.com/isenbrest,Bretagne>Finistère>Brest,Privé,Brest,412,373,397,287,303,Association,,29228,http://www.isen.fr/brest/,France,,Bretagne,R53,,D029,,,,,Yncréa Ouest,,,,EESPIG,Établissement d’enseignement supérieur privé d’intérêt général,CS42807,,,,,,,,,,,,,,,,,,,
45.7803,4.86229,,Point,VILLEURBANNE CEDEX,R82,,UU00758,Lyon,FR0162,0000 0001 2294 1061,Grand établissement,Villeurbanne,0692459Y,,http://www.viadeo.com/fr/company/enssib-ecole-nationale-superieure-des-sciences-de-l-information-et-des-bibliothe,47002437,École nationale supérieure des sciences de l'information et des bibliothèques,https://www.wikidata.org/entity/Q2791269,225,https://www.linkedin.com/company/enssib,69266,196924591,Recherche et enseignement supérieur,150,"45.7803,4.86229",Q2791269,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_de_l%27information_et_des_biblioth%C3%A8ques,0472444343,https://www.facebook.com/enssib,Rhône,http://isni.org/isni/0000000122941061,A10,19692459100015,EPCSCP,Rhône-Alpes,17 BOULEVARD DU 11 NOVEMBRE 1918,https://www.grid.ac/institutes/grid.462188.1,,,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/enssib,Auvergne-Rhône-Alpes>Lyon>Rhône>Villeurbanne,Public,Lyon,251,243,233,90,241,"Établissement public à caractère scientifique, culturel et professionnel",grid.462188.1,69623,http://www.enssib.fr/,France,,Auvergne-Rhône-Alpes,R84,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0692459Y,D069,Opérateurs MIRES 2014,,http://www.enssib.fr/s-abonner,,ENSSIB,,,,,,,https://vimeo.com/enssib,,,,,,,,,,,,,,,,,,
48.8337,2.35751,,Point,PARIS,R11,,UU00851,Paris,FR0185,0000 0001 2194 6047,Grand établissement,Paris 13e,0753237L,,http://www.viadeo.com/fr/company/arts-et-metiers-paristech,41325078,École nationale supérieure d'arts et métiers,https://www.wikidata.org/entity/Q2570220,5703,,75113,197534720,Recherche et enseignement supérieur,150,"48.8337,2.35751",Q2570220,https://fr.wikipedia.org/wiki/Arts_et_M%C3%A9tiers_ParisTech,0144246299,https://www.facebook.com/AMParisTech,Paris,http://isni.org/isni/0000000121946047,A01,19753472000010,EPCSCP,Île-de-France,151 BOULEVARD DE L'HOPITAL,https://www.grid.ac/institutes/grid.434207.6,,,Formations supérieures et recherche universitaire (Recherche et enseignement supérieur),https://twitter.com/AM_ParisTech,Île-de-France>Paris>Paris>Paris 13e,Public,Paris,5646,5635,5726,5286,5522,"Établissement public à caractère scientifique, culturel et professionnel",grid.434207.6,75013,http://www.ensam.eu/,France,,Île-de-France,R11,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0753237L,D075,Opérateurs MIRES 2014,,http://www.ensam.eu/rss/feed/actualites,https://www.youtube.com/user/ARTSETMETIERSCOM,ENSAM,https://plus.google.com/105796107874035081914,https://www.fun-mooc.fr/universities/arts-et-metiers-paristech/,,,,,,,,,,,,,,,,,,,,,,,
48.8393,2.34879,,Point,PARIS CEDEX 05,R11,,UU00851,Paris,FR0191,0000 0001 2185 8223,Grand établissement relevant d'un autre département ministériel,Paris 5e,0753465J,,,13252636,Institut des sciences et industries du vivant et de l'environnement,https://www.wikidata.org/entity/Q1637105,2182,,75105,130002850,Recherche et enseignement supérieur,142,"48.8393,2.34879",Q1637105,https://fr.wikipedia.org/wiki/Institut_des_sciences_et_industries_du_vivant_et_de_l%27environnement,0144081661,https://www.facebook.com/AgroParisTech,Paris,http://isni.org/isni/0000000121858223,A01,13000285000019,EPCSCP,Île-de-France,16 RUE CLAUDE BERNARD,https://www.grid.ac/institutes/grid.417885.7,http://www.dailymotion.com/AgroParisTech,,Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur),https://twitter.com/AgroParisTech,Île-de-France>Paris>Paris>Paris 5e,Public,Paris,2172,2103,2076,1976,2062,"Établissement public à caractère scientifique, culturel et professionnel",grid.417885.7,75231,http://www.agroparistech.fr/,France,"Paris Institute of Technology for Life, Food and Environmental Sciences",Île-de-France,R11,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0753465J,D075,Opérateurs MIRES 2014,,http://www.agroparistech.fr/spip.php?page=backend-agroparistech,,Agro Paris Tech,,,,,,,,,,,,,,,,,,,,,,,,,
