Departement,Agriculture,Industrie,Construction,Tertiaire marchand,Tertiaire non marchand
75-Paris,700,61821,26692,1249103,426116
77-Seine-et-Marne,1908,49134,30519,234595,131769
78-Yvelines,981,79193,33752,266113,159456
91-Essonne,515,45999,31322,229894,134960
92-Hauts-de-Seine,66,96156,35599,723293,177360
93-Seine-Saint-Denis,33,43418,41192,338353,171688
94-Val-de-Marne,154,31853,36714,298856,166060
95-Val-d'Oise,574,35341,25332,187509,118708
14-Calvados,3561,32517,13760,113745,86262
27-Eure,1799,37789,10200,66507,58268
50-Manche,3973,31864,12274,60327,56982
61-Orne,2239,19555,5490,30759,33626
76-Seine-Maritime,2869,76346,29218,200036,158129
