Catégorie,Description,plateforme,lien,source,date
Tissu économique,Niveau d’éducation : taux de diplômé et répartis par catégorie de diplôme ,INSEE,https://www.insee.fr/fr/statistiques/1893149#consulter,INSEE,2014
Tissu économique,"Part des emplois par industrie / filière : secteur (primaire, secondaire, tertiaire)",INSEE,https://www.insee.fr/fr/statistiques/3524476?sommaire=3202716#consulter,INSEE,2016
Tissu économique,Activité professionnelle des individus : lieu de travail localisé à la zone d'emploi en 2014,INSEE,https://www.insee.fr/fr/statistiques/2866325?sommaire=2866354#consulter,INSEE,2014
Tissu économique,Déplacements Domicile Travail – Commune source et cible,INSEE,https://www.insee.fr/fr/statistiques/2866308?sommaire=2866354#consulter,INSEE,2014
Tissu économique,Evolution de la population par département,INSEE,https://www.insee.fr/fr/statistiques/2012713#tableau-TCRD_004_tab1_departements,INSEE,2018
Tissu économique,Evolution de la population par communes,INSEE,https://www.insee.fr/fr/statistiques/2864136#consulter,INSEE,2013
Tissu économique,Logement : nombre résidence principale / secondaires,INSEE,https://www.insee.fr/fr/statistiques/2864136#consulter,INSEE,2014
Tissu économique,Mobilités scolaires des individus : déplacements commune de résidence / commune de scolarisation,INSEE,https://www.insee.fr/fr/statistiques/2866294?sommaire=2866354,INSEE,2014
Tissu économique,Attractivité résidentielle : solde migratoire 2013,INSEE,https://www.insee.fr/fr/statistiques/2862068,INSEE,2014
Tissu économique,Attractivité résidentielle : solde migratoire 2014,INSEE,https://www.insee.fr/fr/statistiques/2862068,INSEE,2014
Tissu économique,Revenu médian disponible,INSEE,https://www.insee.fr/fr/statistiques/3126432,INSEE,2014
Tissu économique,Taux de naissance,INSEE,https://www.insee.fr/fr/statistiques/3051485?sommaire=3051496,INSEE,2016
Tissu économique,Taux de mortalité,INSEE,https://www.insee.fr/fr/statistiques/1893253,INSEE,2016
Tissu économique,Taux de pauvreté,INSEE,https://www.insee.fr/fr/statistiques/3126433,INSEE,2014
Tissu économique,Budget Recherche et développement: comparaisons régionales ,INSEE,https://www.insee.fr/fr/statistiques/2012678#tableau-TCR_058_tab1_regions2016,INSEE,2014
Tissu économique,Vivier de personnes qualifiées,INSEE,https://www.insee.fr/fr/statistiques/3137418#dictionnaire,INSEE,2014
Tissu économique,"Entreprises employeuses du secteur concurrentiel, affiliées au régime général (donc hors régime agricole)",data.gouv,https://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,INSEE,2018
Tissu économique,Taux de créations d’entreprises (par secteur d’activité),INSEE,https://www.insee.fr/fr/statistiques/3357451?sommaire=3357459#consulter,INSEE,2017
Transport et logistique,Rails,IGN,http://professionnels.ign.fr/route500 ,IGN,2018
Transport et logistique,Gares,IGN,http://professionnels.ign.fr/route500 ,IGN,2018
Transport et logistique,Routes,IGN,http://professionnels.ign.fr/route500 ,IGN,2018
Transport et logistique,Aérodromes,IGN,http://professionnels.ign.fr/route500 ,IGN,2018
Transport et logistique,Domaine public fluvial,data.gouv,https://www.data.gouv.fr/fr/datasets/segments-du-domaine-public-fluvial-dpf-metropole/,eau france,2018
Transport et logistique,Principaux ports de commerce français,IFREMER,http://www.ifremer.fr/demf/reports/2016/10-mar-transp#2015_10-4a_totalcargotrafficfr-csv,IFREMER,2016
Transport et logistique,Ports de ferries,eurogeographics,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/ ,eurogeographics,2017
Transport et logistique,Lignes de ferries,eurogeographics,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/ ,eurogeographics,2017
Transport et logistique,Lignes RTE aériennes,data.gouv,https://www.data.gouv.fr/fr/datasets/lignes-aeriennes-rte-au-22-decembre-2017-1/,Open Data Réseaux Énergies ODRé,2018
Transport et logistique,Pylônes RTE,data.gouv,https://www.data.gouv.fr/fr/datasets/pylones-rte-au-22-decembre-2017-1/,Open Data Réseaux Énergies ODRé,2018
Transport et logistique,Lignes RTE souterraines,data.gouv,https://www.data.gouv.fr/fr/datasets/lignes-souterraines-rte-au-22-decembre-2017-1/,Open Data Réseaux Énergies ODRé,2018
Transport et logistique,Couverture réseau mobile,data.gouv,https://www.data.gouv.fr/fr/datasets/monreseaumobile/,ARCEP,2017
Transport et logistique,Couverture fibre + ADSL,data.gouv,https://www.data.gouv.fr/fr/datasets/niveau-des-debits-sur-les-reseaux-dacces-a-internet-adsl-cable-fibre-ftth-2/,Agence du Numérique,2017
Foncier,Topographie,IGN,http://professionnels.ign.fr/bdalti,IGN,2017
Foncier,Zones Industrielles et Commerciales,data.gouv,https://www.data.gouv.fr/fr/datasets/corine-land-cover-occupation-des-sols-en-france/,"Ministère de l'Écologie, du Dév. Durable et de l'Énergie",2012
